S,zero_prop,r_complete,r_impute
0.02,0.24,0.132669719,0.0569414
0.01,0.475,0.08327702,0.116498275
0.005,0.725,0.232860997,-0.049183948
0.1,0.005,-0.007509371,0.017205338
0.05,0.015,0.054946535,0.022485739
0.02,0.165,-0.043350822,-0.008821642
0.01,0.41,0.307036241,0.147261267
0.005,0.685,0.51150803,0.11776782
0.1,0.01,-0.049678808,-0.050405413
0.05,0.05,-0.124560149,-0.168622374
0.02,0.19,-0.250649872,-0.260076556
0.01,0.44,-0.294288753,-0.227124202
0.005,0.7,0.632455532,0.181953328
0.1,0.005,0.097248428,0.075601761
0.05,0.03,0.048651591,0.071037781
0.02,0.215,0.053469021,0.022715592
0.01,0.465,0.021610593,0.005733559
0.005,0.735,0.441382918,0.342211812
0.1,0.005,-0.084537558,-0.131922393
0.05,0.04,-0.144531172,-0.136528648
0.02,0.16,-0.259370412,-0.269499012
0.01,0.455,-0.200070213,-0.301091779
0.005,0.735,-0.417131641,0.020695204
